Group;Total;AXW (D_0A6FF7A5-3415-4CB4-995F-8F393BC2F2E2);AXW Default Annotations (C_AD61FECA-7D5A-46E6-ABA6-212B7773679F);BAX (D_490B69D4-79CC-4BFD-B932-2389A5BC55DE);BAX Default Annotations (C_8968879C-B2BC-4FEA-B95F-60B5FFC9CBB6);SAX (D_674969D0-4D66-4A65-8D2F-28274AD7C8A4);SAX Default Annotations (C_C0FC58F8-504B-4C64-B741-A61824DA6C66);AXS-normal (D_6D07C059-F8CD-4F7E-B69E-02176068C081);AXS-normal Forschung (C_A1BB5E4F-C4F8-46B6-BA18-EB664C231036);AXV (D_70CAAD92-D160-494F-A2C3-7F4B05302621);AXV Default Annotations (C_49BCF063-3780-47AE-A5D6-1E8DB0DB8F4F);AXU (D_AA0EC5FB-BE03-473C-A0D9-BADAC12B73FC);AXU Default Annotations (C_1C6A20E2-668E-45E7-9E51-C4A9EBA4197E);AXR (D_BA0BE279-69FF-409A-B02A-0889085FDCAD);AXR Default Annotations (C_6E8C8418-604A-494B-B209-377540AF832E)
"Got ";1;;;;;;;;;1;1;;;;
Hêre;2;;;;;;;;;2;2;;;;
Hêren;2;;;;;;;;;2;2;;;;
"Rîcher ";2;;;;;;;;;2;2;;;;
"allerhêrste ";2;;;;;;;;;2;2;;;;
"bal ";3;;;;;;;2;2;;;;;1;1
"balde
";2;;;;;;;2;2;;;;;;
balt;36;;;;;;;12;12;4;4;6;6;14;14
"balt
";11;;;;;;;11;11;;;;;;
"balt
";1;;;;;;;;;;;1;1;;
baltheit;2;;;;;;;2;2;;;;;;
"bedwingen
";4;;;;;;;4;4;;;;;;
"bedwunge
";2;;;;;;;2;2;;;;;;
begraben;17;1;1;;;5;5;2;2;2;2;4;4;3;3
begrabn;4;;;;;;;;;;;;;4;4
begrueb;5;;;;;5;5;;;;;;;;
begrueben;1;;;;;1;1;;;;;;;;
"begrûb ";2;;;;;;;2;2;;;;;;
bekêre;2;;;;;;;2;2;;;;;;
"bekêren
";2;;;;;;;2;2;;;;;;
"bilden ";2;;;;;;;2;2;;;;;;
bilede;2;;;;;;;2;2;;;;;;
"bilide
";2;;;;;;;2;2;;;;;;
"brucke ";2;;;;;;;2;2;;;;;;
burch;1;;;;;;;;;1;1;;;;
"burch
";2;;;;;;;;;2;2;;;;
"burch ";4;;;;;;;2;2;2;2;;;;
"burg ";2;;;;;;;2;2;;;;;;
"burge ";2;;;;;;;2;2;;;;;;
chnecht;1;;;;;1;1;;;;;;;;
chnechten;1;;;;;1;1;;;;;;;;
chneht;2;;;;;;;;;2;2;;;;
"chnehte ";2;;;;;;;;;2;2;;;;
"chrefte
";2;;;;;;;;;2;2;;;;
chundicheit;2;;;;;;;;;2;2;;;;
"chundiclîchen ";2;;;;;;;;;2;2;;;;
chunich;6;;;;;;;;;6;6;;;;
"chunich ";16;;;;;;;;;16;16;;;;
"chunicrîches ";2;;;;;;;;;2;2;;;;
chunig;90;;;;;90;90;;;;;;;;
"chunig ";4;;;;;2;2;;;2;2;;;;
chunige;2;;;;;;;;;2;2;;;;
"chunige ";8;;;;;;;;;8;8;;;;
"chuniges ";6;;;;;;;;;6;6;;;;
chunigk;2;;;;;2;2;;;;;;;;
chunigreich;1;;;;;1;1;;;;;;;;
chunigreiche;1;;;;;1;1;;;;;;;;
"corner ";2;;;;;;;2;2;;;;;;
corône;2;;;;;;;;;2;2;;;;
"corône ";2;;;;;;;;;2;2;;;;
craft;4;;;;;;;4;4;;;;;;
"craft
";6;;;;;;;6;6;;;;;;
"craft ";6;;;;;;;6;6;;;;;;
"creftegen ";2;;;;;;;2;2;;;;;;
"creftige ";2;;;;;;;2;2;;;;;;
crône;8;;;;;;;;;;;8;8;;
"crône
";2;;;;;;;2;2;;;;;;
"crône ";2;;;;;;;2;2;;;;;;
crônen;4;;;;;;;4;4;;;;;;
"crônen ";6;;;;;;;6;6;;;;;;
crônte;1;;;;;;;;;;;1;1;;
"crônten ";2;;;;;;;2;2;;;;;;
cundicheit;2;;;;;;;2;2;;;;;;
degen;69;7;7;;;1;1;2;2;1;1;2;2;56;56
"degen
";2;;;;;;;2;2;;;;;;
"degen
";2;;;;;;;;;2;2;;;;
"degen ";7;;;;;;;;;3;3;;;4;4
degene;2;;;;;;;2;2;;;;;;
"degene ";1;;;;;;;1;1;;;;;;
"degenheite
";2;;;;;;;2;2;;;;;;
"degenis ";2;;;;;;;2;2;;;;;;
"degintlîchen ";2;;;;;;;2;2;;;;;;
degn;21;;;;;;;;;;;;;21;21
"degn
";1;;;;;;;;;;;;;1;1
"degn ";1;;;;;;;;;;;;;1;1
edel;59;6;6;;;6;6;;;;;14;14;33;33
"edel ";3;;;;;;;;;;;;;3;3
edele;6;;;;;;;;;;;1;1;5;5
"edele
";2;;;;;;;;;2;2;;;;
"edele ";4;;;;;;;2;2;2;2;;;;
edelem;1;;;;;;;;;;;;;1;1
edelen;6;;;;;;;;;;;;;6;6
"edelen ";2;;;;;;;2;2;;;;;;
edeler;3;;;;;2;2;;;;;1;1;;
edeller;1;;;;;1;1;;;;;;;;
edelm;1;1;1;;;;;;;;;;;;
edeln;11;3;3;;;1;1;;;;;2;2;5;5
"edeln ";1;;;;;;;;;;;;;1;1
edelstein;1;;;;;;;;;;;1;1;;
edelsten;1;;;;;;;;;;;;;1;1
edl;1;;;;;1;1;;;;;;;;
edle;11;;;;;;;;;;;10;10;1;1
edlem;1;;;;;;;;;;;1;1;;
edlen;6;;;;;;;;;;;6;6;;
edler;17;2;2;;;13;13;;;;;2;2;;
edlisten;2;;;;;2;2;;;;;;;;
"einwîch ";2;;;;;;;2;2;;;;;;
elfinbein;2;;;;;;;2;2;;;;;;
ellen;13;;;;;;;;;;;10;10;3;3
"ellen
";2;;;;;;;2;2;;;;;;
ellend;2;2;2;;;;;;;;;;;;
ellende;4;1;1;;;;;;;;;1;1;2;2
ellenden;2;1;1;;;;;;;;;1;1;;
"ellenden ";4;;;;;;;4;4;;;;;;
ellens;2;;;;;;;;;;;1;1;1;1
ellenthaft;9;3;3;;;;;;;;;;;6;6
"ellenthaft ";4;;;;;;;4;4;;;;;;
ellenthafte;21;;;;;;;;;;;1;1;20;20
"ellenthafte
";2;;;;;;;2;2;;;;;;
"ellenthafte ";4;;;;;;;2;2;2;2;;;;
ellenthaftem;1;;;;;;;;;;;1;1;;
ellenthaften;16;;;;;;;;;;;4;4;12;12
"ellenthaften ";4;;;;;;;2;2;2;2;;;;
ellenthafter;6;;;;;;;;;;;2;2;4;4
"ellenthafter ";2;;;;;;;2;2;;;;;;
ellenthaftes;1;;;;;;;;;;;;;1;1
ellenthaftiu;2;;;;;;;;;;;;;2;2
"ellenthaftiu ";1;;;;;;;;;;;;;1;1
ellentrîche;2;;;;;;;;;;;;;2;2
