Group;Total;AXW (D_0A6FF7A5-3415-4CB4-995F-8F393BC2F2E2);AXW Default Annotations (C_AD61FECA-7D5A-46E6-ABA6-212B7773679F);BAX (D_490B69D4-79CC-4BFD-B932-2389A5BC55DE);BAX Default Annotations (C_8968879C-B2BC-4FEA-B95F-60B5FFC9CBB6);SAX (D_674969D0-4D66-4A65-8D2F-28274AD7C8A4);SAX Default Annotations (C_C0FC58F8-504B-4C64-B741-A61824DA6C66);AXS-normal (D_6D07C059-F8CD-4F7E-B69E-02176068C081);AXS-normal Forschung (C_A1BB5E4F-C4F8-46B6-BA18-EB664C231036);AXV (D_70CAAD92-D160-494F-A2C3-7F4B05302621);AXV Default Annotations (C_49BCF063-3780-47AE-A5D6-1E8DB0DB8F4F);AXU (D_AA0EC5FB-BE03-473C-A0D9-BADAC12B73FC);AXU Default Annotations (C_1C6A20E2-668E-45E7-9E51-C4A9EBA4197E);AXR (D_BA0BE279-69FF-409A-B02A-0889085FDCAD);AXR Default Annotations (C_6E8C8418-604A-494B-B209-377540AF832E)
"Got ";2;;;;;1;1;;;;;;;1;1
"Grâven ";1;;;;;;;;;1;1;;;;
"Juden ";3;;;;;;;;;;;;;3;3
"Rîcher ";1;;;;;;;;;1;1;;;;
"Ubirmûtechlîche ";1;;;;;;;;;1;1;;;;
"adamante ";1;;;;;;;1;1;;;;;;
"adele ";1;;;;;;;1;1;;;;;;
adelkeit;1;1;1;;;;;;;;;;;;
"algerihte
";1;;;;;;;1;1;;;;;;
ametiste;1;;;;;;;1;1;;;;;;
"apostolum ";1;;;;;;;1;1;;;;;;
"archam ";1;;;;;;;1;1;;;;;;
"bal
";1;;;;;;;;;;;;;1;1
"bal ";1;;;;;;;1;1;;;;;;
balt;18;;;;;;;2;2;1;1;3;3;12;12
"balt ";1;;;1;1;;;;;;;;;;
bdellius;1;;;;;;;1;1;;;;;;
"bedwingen
";1;;;;;;;1;1;;;;;;
begraben;42;1;1;;;6;6;2;2;1;1;25;25;7;7
"begraben
";1;;;;;;;1;1;;;;;;
"begraben ";4;;;1;1;1;1;1;1;;;;;1;1
begrabn;7;;;;;;;;;;;;;7;7
begrueb;5;;;;;5;5;;;;;;;;
begrueben;1;;;;;1;1;;;;;;;;
"berhfriden ";1;;;;;;;1;1;;;;;;
berillus;1;;;;;;;1;1;;;;;;
betehûs;1;;;;;;;1;1;;;;;;
"biderbe ";1;;;;;;;1;1;;;;;;
"blanc ";1;;;;;;;1;1;;;;;;
blâsebelge;1;;;;;;;1;1;;;;;;
"boten ";1;;;;;;;1;1;;;;;;
"brustwere
";1;;;;;;;1;1;;;;;;
brûte;1;;;;;;;1;1;;;;;;
burc;15;;;;;;;;;;;15;15;;
"burc ";2;;;;;;;2;2;;;;;;
burcgraevinne;2;;;;;;;;;;;2;2;;
burcgrave;1;;;;;;;;;;;;;1;1
"burcgrâfen ";1;;;;;;;;;1;1;;;;
burcgrâve;14;;;;;;;;;;;9;9;5;5
burcgrâven;5;;;;;;;;;;;1;1;4;4
burch;11;;;;;;;7;7;4;4;;;;
"burch ";23;;;;;;;6;6;17;17;;;;
"burchmûre ";1;;;;;;;;;1;1;;;;
"burg ";7;;;;;;;7;7;;;;;;
burge;4;;;;;;;;;;;4;4;;
"burge
";1;;;;;;;1;1;;;;;;
"burge ";1;;;;;;;1;1;;;;;;
"burgen
";1;;;;;;;1;1;;;;;;
"burggrâfen ";1;;;;;;;1;1;;;;;;
burgrâven;2;;;;;;;;;;;2;2;;
burh;2;;;;;;;2;2;;;;;;
"burh
";2;;;;;;;2;2;;;;;;
"burh ";6;;;;;;;6;6;;;;;;
"burk ";1;;;;;;;1;1;;;;;;
"bâten
";1;;;;;;;1;1;;;;;;
bûwen;1;;;;;;;1;1;;;;;;
carbuncel;1;;;;;;;1;1;;;;;;
chaiser;176;;;;;176;176;;;;;;;;
chaiserein;2;;;;;2;2;;;;;;;;
chaiserin;3;;;;;3;3;;;;;;;;
chaiserinn;3;;;;;3;3;;;;;;;;
chaiserinne;2;;;;;2;2;;;;;;;;
chaisers;5;;;;;5;5;;;;;;;;
chaisser;9;;;;;9;9;;;;;;;;
chaisserin;3;;;;;3;3;;;;;;;;
chaisserinn;1;;;;;1;1;;;;;;;;
chayser;24;;;;;24;24;;;;;;;;
chayserin;3;;;;;3;3;;;;;;;;
chayserinne;2;;;;;2;2;;;;;;;;
chaysers;2;;;;;2;2;;;;;;;;
chaysserin;1;;;;;1;1;;;;;;;;
chaysserynne;1;;;;;1;1;;;;;;;;
chnecht;1;;;;;1;1;;;;;;;;
chnechten;4;;;;;4;4;;;;;;;;
"chneht
";1;;;;;;;;;1;1;;;;
chnehten;3;;;;;;;;;3;3;;;;
choldes;2;;;;;;;;;2;2;;;;
cholt;1;;;;;;;;;1;1;;;;
"chorône ";1;;;;;;;;;1;1;;;;
christenhait;1;;;;;1;1;;;;;;;;
"chrôni ";1;;;;;;;;;1;1;;;;
"chundeclîch ";1;;;;;;;;;1;1;;;;
"chundigen ";1;;;;;;;;;1;1;;;;
"chunege ";3;;;;;;;;;3;3;;;;
"chunge ";1;;;;;;;;;1;1;;;;
chunich;1;;;;;;;;;1;1;;;;
"chunich ";18;;;;;;;;;18;18;;;;
"chunichlîches ";1;;;;;;;;;1;1;;;;
chunig;64;;;;;64;64;;;;;;;;
"chunig ";4;;;;;4;4;;;;;;;;
chunige;1;;;;;;;;;1;1;;;;
"chunige ";9;;;;;;;;;9;9;;;;
chunigein;2;;;;;2;2;;;;;;;;
"chunigen ";1;;;;;;;;;1;1;;;;
chuniges;1;;;;;;;;;1;1;;;;
"chuniges ";2;;;;;;;;;2;2;;;;
chunigin;26;;;;;26;26;;;;;;;;
"chunigin ";1;;;;;;;;;1;1;;;;
chuniginn;6;;;;;6;6;;;;;;;;
chuniginne;11;;;;;11;11;;;;;;;;
"chunigis ";1;;;;;;;;;1;1;;;;
chunigk;1;;;;;1;1;;;;;;;;
chunigreich;8;;;;;8;8;;;;;;;;
chunigreichen;3;;;;;3;3;;;;;;;;
chunigynn;6;;;;;6;6;;;;;;;;
chunigynne;7;;;;;7;7;;;;;;;;
"chûnen ";2;;;;;;;;;2;2;;;;
cinsêre;1;;;;;;;1;1;;;;;;
craft;1;;;;;;;1;1;;;;;;
"craft
";1;;;;;;;1;1;;;;;;
craften;1;;;;;;;1;1;;;;;;
creftich;1;;;;;;;1;1;;;;;;
"creftich
";1;;;;;;;1;1;;;;;;
"creftigen ";1;;;;;;;1;1;;;;;;
"creftigiz ";1;;;;;;;1;1;;;;;;
crisolîtus;1;;;;;;;1;1;;;;;;
crisoprassus;1;;;;;;;1;1;;;;;;
crist;4;;;;;;;;;;;4;4;;
cristallen;1;;;;;;;1;1;;;;;;
cristen;7;;;;;;;;;;;7;7;;
cristenheit;1;;;;;;;;;;;1;1;;
cristenheite;2;;;;;;;;;;;2;2;;
cristentuom;1;;;;;;;;;;;1;1;;
"cristinman
";1;;;;;;;1;1;;;;;;
crône;24;;;;;;;1;1;;;23;23;;
"crône ";3;;;;;;;3;3;;;;;;
crônen;1;;;;;;;;;;;1;1;;
cundicheit;1;;;;;;;1;1;;;;;;
"cunstige ";1;;;;;;;1;1;;;;;;
degen;70;7;7;;;2;2;3;3;;;4;4;54;54
"degen
";1;;;;;;;;;1;1;;;;
"degen ";5;;;;;;;1;1;1;1;;;3;3
degene;1;;;;;;;1;1;;;;;;
"degene ";1;;;;;;;1;1;;;;;;
degenen;1;;;;;;;1;1;;;;;;
"degenis ";1;;;;;;;1;1;;;;;;
"degintlîchen ";1;;;;;;;1;1;;;;;;
degn;48;;;;;;;;;;;;;48;48
"degn
";2;;;;;;;;;;;;;2;2
diemuot;1;;;;;;;;;;;;;1;1
"diemuot ";2;;;;;;;;;;;;;2;2
dienesthaft;1;;;;;;;;;1;1;;;;
"dienst ";1;;;;;;;1;1;;;;;;
dietdegen;1;;;;;;;1;1;;;;;;
dôz;1;;;;;;;1;1;;;;;;
edel;76;7;7;;;22;22;;;;;21;21;26;26
"edel ";5;;;1;1;;;;;;;1;1;3;3
edele;13;;;;;;;;;1;1;5;5;7;7
"edele ";13;;;;;;;12;12;;;;;1;1
edelem;1;;;;;;;;;;;;;1;1
"edelem ";1;;;;;;;1;1;;;;;;
edelen;17;;;;;;;;;;;2;2;15;15
"edelen ";9;;;;;;;9;9;;;;;;
edeler;2;;;;;;;;;;;1;1;1;1
edelkait;2;;;;;2;2;;;;;;;;
edelkeit;4;;;;;;;;;;;;;4;4
"edelkeit
";1;;;;;;;;;;;;;1;1
edeller;1;;;;;1;1;;;;;;;;
edelm;12;2;2;;;9;9;;;;;1;1;;
edeln;28;5;5;;;15;15;;;;;5;5;3;3
edels;1;;;;;1;1;;;;;;;;
edelstein;1;;;;;;;;;;;1;1;;
edl;7;;;;;7;7;;;;;;;;
edle;25;;;;;;;;;;;24;24;1;1
"edle ";2;;;2;2;;;;;;;;;;
edlem;3;;;;;1;1;;;;;2;2;;
edlen;22;;;;;3;3;;;;;18;18;1;1
edler;11;1;1;;;7;7;;;;;2;2;1;1
edlew;6;;;;;6;6;;;;;;;;
einwîch;1;;;;;;;1;1;;;;;;
elfenbeine;1;;;;;;;1;1;;;;;;
"elfenbeinîne ";1;;;;;;;1;1;;;;;;
ellen;24;;;;;1;1;;;;;23;23;;
"ellen
";1;;;;;;;1;1;;;;;;
ellend;1;1;1;;;;;;;;;;;;
ellende;6;1;1;;;;;;;;;5;5;;
ellenden;5;1;1;;;1;1;;;;;3;3;;
"ellenden ";1;;;;;;;1;1;;;;;;
ellenhafte;2;;;;;;;;;;;;;2;2
"ellenhafte ";1;;;;;;;;;;;;;1;1
ellenhaften;1;;;;;;;;;;;;;1;1
ellenhafter;1;;;;;;;;;;;;;1;1
ellens;7;;;;;;;;;;;5;5;2;2
ellensrîche;1;;;;;;;;;;;1;1;;
ellent;1;;;;;1;1;;;;;;;;
ellenthaft;6;;;;;;;;;;;;;6;6
ellenthafte;23;;;;;;;;;;;3;3;20;20
"ellenthafte ";1;;;;;;;;;1;1;;;;
ellenthaften;21;;;;;;;;;;;4;4;17;17
"ellenthaften ";2;;;;;;;1;1;;;;;1;1
ellenthafter;23;;;;;;;;;;;8;8;15;15
"ellenthafter ";2;;;;;;;;;;;;;2;2
ellenthaftes;1;;;;;;;;;;;1;1;;
ellenthaftiu;1;;;;;;;;;;;;;1;1
ellenthaftn;1;;;;;;;;;;;;;1;1
ellenthften;1;;;;;;;;;;;;;1;1
engel;11;2;2;;;1;1;;;;;7;7;1;1
"engel ";1;;;;;;;1;1;;;;;;
engeldet;1;;;;;;;1;1;;;;;;
engele;1;;;;;;;;;;;1;1;;
"engele ";1;;;;;;;1;1;;;;;;
"engelische ";2;;;;;;;2;2;;;;;;
"engelischen ";1;;;;;;;1;1;;;;;;
"er ";1;;;;;1;1;;;;;;;;
eren;8;8;8;;;;;;;;;;;;
"erküngîn ";1;;;1;1;;;;;;;;;;
evangelistam;1;;;;;;;1;1;;;;;;
fraw;52;31;31;;;21;21;;;;;;;;
frawe;1;1;1;;;;;;;;;;;;
frawen;69;19;19;;;50;50;;;;;;;;
frawn;4;;;;;4;4;;;;;;;;
"fride ";2;;;;;;;2;2;;;;;;
frides;1;;;;;;;1;1;;;;;;
frou;13;;;;;;;;;;;13;13;;
frouw;10;;;10;10;;;;;;;;;;
frouwe;84;;;3;3;;;;;;;81;81;;
frouwen;122;;;3;3;;;;;;;119;119;;
frow;2;;;;;;;;;1;1;1;1;;
"frow ";1;;;;;;;;;1;1;;;;
frowe;38;;;;;;;7;7;3;3;28;28;;
"frowe
";2;;;;;;;2;2;;;;;;
"frowe ";22;;;;;;;19;19;3;3;;;;
frowen;41;;;;;2;2;9;9;;;30;30;;
"frowen
";7;;;;;;;7;7;;;;;;
"frowen ";12;;;;;;;12;12;;;;;;
frowenbilde;1;;;;;;;;;;;1;1;;
"frum ";1;;;;;;;;;1;1;;;;
frumbkait;1;;;;;1;1;;;;;;;;
frumbt;1;;;;;1;1;;;;;;;;
"frumeclîchen ";1;;;;;;;;;1;1;;;;
frumen;1;;;;;;;;;1;1;;;;
"frumen ";1;;;;;;;;;1;1;;;;
"frumer ";1;;;;;;;;;1;1;;;;
frumet;2;;;;;;;;;;;2;2;;
"frumich
";1;;;;;;;1;1;;;;;;
"frumich ";2;;;;;;;1;1;1;1;;;;
frumicheit;1;;;;;;;;;1;1;;;;
"frumicheit ";1;;;;;;;1;1;;;;;;
