Group;Total;AXW (D_0A6FF7A5-3415-4CB4-995F-8F393BC2F2E2);AXW Default Annotations (C_AD61FECA-7D5A-46E6-ABA6-212B7773679F);BAX (D_490B69D4-79CC-4BFD-B932-2389A5BC55DE);BAX Default Annotations (C_8968879C-B2BC-4FEA-B95F-60B5FFC9CBB6);SAX (D_674969D0-4D66-4A65-8D2F-28274AD7C8A4);SAX Default Annotations (C_C0FC58F8-504B-4C64-B741-A61824DA6C66);AXS-normal (D_6D07C059-F8CD-4F7E-B69E-02176068C081);AXS-normal Forschung (C_A1BB5E4F-C4F8-46B6-BA18-EB664C231036);AXV (D_70CAAD92-D160-494F-A2C3-7F4B05302621);AXV Default Annotations (C_49BCF063-3780-47AE-A5D6-1E8DB0DB8F4F);AXU (D_AA0EC5FB-BE03-473C-A0D9-BADAC12B73FC);AXU Default Annotations (C_1C6A20E2-668E-45E7-9E51-C4A9EBA4197E);AXR (D_BA0BE279-69FF-409A-B02A-0889085FDCAD);AXR Default Annotations (C_6E8C8418-604A-494B-B209-377540AF832E)
"Amônen ";1;;;;;;;;;;;;;1;1
"affen
";2;;;;;;;2;2;;;;;;
amon;11;4;4;;;7;7;;;;;;;;
"amon ";2;;;;;;;2;2;;;;;;
"amone ";2;;;;;;;2;2;;;;;;
amons;2;;;;;2;2;;;;;;;;
amôn;1;;;;;;;;;;;;;1;1
"amône
";1;;;;;;;;;;;;;1;1
"bedwingen
";6;;;;;;;6;6;;;;;;
"bellen
";3;;;;;;;3;3;;;;;;
berc;16;;;;;;;;;;;9;9;7;7
"bere ";2;;;;;;;2;2;;;;;;
berg;2;1;1;;;;;;;;;;;1;1
berge;27;;;;;;;;;;;14;14;13;13
"berge ";2;;;;;;;2;2;;;;;;
bergen;2;;;;;;;;;;;1;1;1;1
"bergen ";1;;;;;;;;;;;;;1;1
"birken
";2;;;;;;;2;2;;;;;;
"bitter ";2;;;;;;;2;2;;;;;;
"blat ";2;;;;;;;2;2;;;;;;
blicke;2;;;;;;;2;2;;;;;;
"blinden ";2;;;;;;;2;2;;;;;;
bluome;1;;;;;;;;;;;1;1;;
bluomen;5;;;;;;;;;;;5;5;;
"bluotbach ";1;;;;;;;;;;;;;1;1
"blûme
";2;;;;;;;2;2;;;;;;
"blûmen ";4;;;;;;;4;4;;;;;;
"blüendiu ";1;;;;;;;;;;;;;1;1
boum;16;;;;;;;;;;;14;14;2;2
"boum ";2;;;;;;;2;2;;;;;;
boume;20;;;;;;;4;4;;;11;11;5;5
"boume ";4;;;;;;;4;4;;;;;;
boumen;4;;;;;;;2;2;;;2;2;;
"boumen ";6;;;;;;;6;6;;;;;;
"brante ";2;;;;;;;2;2;;;;;;
"branten ";2;;;;;;;2;2;;;;;;
brechen;2;;;;;;;2;2;;;;;;
"brâchen ";2;;;;;;;2;2;;;;;;
"brûch
";2;;;;;;;2;2;;;;;;
bucifallen;1;1;1;;;;;;;;;;;;
bucifalus;1;1;1;;;;;;;;;;;;
"bôse ";2;;;;;;;2;2;;;;;;
"bôslîch ";1;;;;;;;;;1;1;;;;
"clâwen ";2;;;;;;;2;2;;;;;;
cocodrillen;3;;;;;;;;;;;3;3;;
"cocodrillen ";2;;;;;;;2;2;;;;;;
"cranc ";2;;;;;;;2;2;;;;;;
