Group;Total;AXW (D_0A6FF7A5-3415-4CB4-995F-8F393BC2F2E2);AXW Default Annotations (C_AD61FECA-7D5A-46E6-ABA6-212B7773679F);BAX (D_490B69D4-79CC-4BFD-B932-2389A5BC55DE);BAX Default Annotations (C_8968879C-B2BC-4FEA-B95F-60B5FFC9CBB6);SAX (D_674969D0-4D66-4A65-8D2F-28274AD7C8A4);SAX Default Annotations (C_C0FC58F8-504B-4C64-B741-A61824DA6C66);AXS-normal (D_6D07C059-F8CD-4F7E-B69E-02176068C081);AXS-normal Forschung (C_A1BB5E4F-C4F8-46B6-BA18-EB664C231036);AXV (D_70CAAD92-D160-494F-A2C3-7F4B05302621);AXV Default Annotations (C_49BCF063-3780-47AE-A5D6-1E8DB0DB8F4F);AXU (D_AA0EC5FB-BE03-473C-A0D9-BADAC12B73FC);AXU Default Annotations (C_1C6A20E2-668E-45E7-9E51-C4A9EBA4197E);AXR (D_BA0BE279-69FF-409A-B02A-0889085FDCAD);AXR Default Annotations (C_6E8C8418-604A-494B-B209-377540AF832E)
"ammôn ";1;;;1;1;;;;;;;;;;
amon;11;4;4;;;7;7;;;;;;;;
amôn;2;;;1;1;;;;;;;;;1;1
"amôn ";2;;;;;;;;;;;;;2;2
amône;1;;;1;1;;;;;;;;;;
"bal
";1;;;;;;;1;1;;;;;;
"begraben ";2;;;;;;;2;2;;;;;;
"begrabens ";1;;;;;1;1;;;;;;;;
"belen ";1;;;;;;;;;1;1;;;;
bellen;1;;;;;;;;;;;1;1;;
bellender;1;;;;;;;;;;;1;1;;
"bellender ";2;;;;;;;1;1;;;;;1;1
bellent;1;;;;;;;;;;;1;1;;
berc;30;;;;;;;;;;;24;24;6;6
"berg ";1;;;;;;;;;;;;;1;1
berge;28;;;;;;;;;;;16;16;12;12
"berge ";1;;;;;;;;;;;;;1;1
bergen;8;;;;;;;;;;;4;4;4;4
"bergen ";1;;;;;;;;;;;;;1;1
betrugen;1;;;;;;;;;1;1;;;;
"betrîgen
";1;;;;;;;1;1;;;;;;
bluome;3;;;;;;;;;;;3;3;;
"bluome ";1;;;;;;;;;;;;;1;1
bluomen;16;;;;;;;;;;;16;16;;
"bluotbach ";1;;;;;;;;;;;;;1;1
"blôde ";3;;;;;;;3;3;;;;;;
"blôdicheit ";1;;;;;;;1;1;;;;;;
"blûme ";1;;;;;;;1;1;;;;;;
"blûmen
";1;;;;;;;1;1;;;;;;
"blûmen ";4;;;;;;;4;4;;;;;;
blût;2;;;;;;;2;2;;;;;;
"boes ";1;;;;;;;;;;;;;1;1
boese;10;;;;;;;;;;;10;10;;
boesen;20;;;;;;;;;;;20;20;;
"boesen ";1;;;;;;;1;1;;;;;;
boeser;8;;;;;;;;;;;8;8;;
boeses;2;;;;;;;;;;;2;2;;
boesez;2;;;;;;;;;;;2;2;;
boum;6;;;;;;;;;;;6;6;;
boume;8;;;;;;;1;1;;;7;7;;
"boume ";1;;;;;;;1;1;;;;;;
boumen;4;;;;;;;;;;;4;4;;
brunnen;1;;;;;;;1;1;;;;;;
"brunnen ";1;;;;;;;1;1;;;;;;
"burge
";1;;;;;;;1;1;;;;;;
bursten;1;;;;;;;1;1;;;;;;
"bôse ";5;;;;;;;2;2;3;3;;;;
bôsen;1;;;;;;;;;;;1;1;;
"bôsen ";1;;;;;;;;;1;1;;;;
bôsheit;2;;;;;;;;;;;2;2;;
donerslac;1;;;;;;;;;;;1;1;;
dracken;2;2;2;;;;;;;;;;;;
ei;1;;;;;;;;;;;;;1;1
"ei ";3;;;;;;;;;;;;;3;3
"eie ";1;;;;;;;;;;;;;1;1
eislich;1;;;;;;;;;;;1;1;;
"elefande
";2;;;;;;;2;2;;;;;;
"elefande ";1;;;;;;;1;1;;;;;;
"elefanden
";1;;;;;;;1;1;;;;;;
elefant;2;;;;;;;;;;;2;2;;
elefante;1;;;;;;;;;;;1;1;;
elephant;6;2;2;;;;;;;;;4;4;;
elephanten;1;;;;;;;;;;;1;1;;
elfande;1;;;;;;;1;1;;;;;;
"elfande ";1;;;;;;;1;1;;;;;;
"elfanden
";2;;;;;;;2;2;;;;;;
elfent;1;;;;;;;1;1;;;;;;
"elfentiere
";1;;;;;;;1;1;;;;;;
ellefand;1;1;1;;;;;;;;;;;;
ertranc;1;;;;;;;1;1;;;;;;
esel;1;;;;;1;1;;;;;;;;
"eseles ";1;;;;;;;;;1;1;;;;
fersmâten;1;;;;;;;;;1;1;;;;
"fliezen
";1;;;;;;;1;1;;;;;;
fraisleich;1;;;;;1;1;;;;;;;;
fraislich;1;1;1;;;;;;;;;;;;
fraysam;1;1;1;;;;;;;;;;;;
fraysleich;1;;;;;1;1;;;;;;;;
frayslich;2;2;2;;;;;;;;;;;;
"frayslich
";1;1;1;;;;;;;;;;;;
frayslichen;1;;;;;1;1;;;;;;;;
freisam;1;;;;;;;;;;;1;1;;
freisamen;1;;;;;;;;;;;1;1;;
freislich;2;;;;;;;;;;;2;2;;
freislîch;1;;;;;;;1;1;;;;;;
"freislîch ";2;;;;;;;1;1;1;1;;;;
freislîchen;2;;;;;;;2;2;;;;;;
"freislîchen
";1;;;;;;;1;1;;;;;;
"freislîchen ";5;;;;;;;5;5;;;;;;
frevelich;1;1;1;;;;;;;;;;;;
"frevelîchem ";1;;;1;1;;;;;;;;;;
frevillîche;1;;;;;;;1;1;;;;;;
fruht;19;;;;;;;;;;;19;19;;
"fugele ";3;;;;;;;3;3;;;;;;
"fugil ";1;;;;;;;1;1;;;;;;
fûr;1;;;;;;;1;1;;;;;;
gebirge;65;;;;;;;;;;;41;41;24;24
"gebirge ";4;;;;;;;;;;;;;4;4
gebirges;7;;;;;;;;;;;;;7;7
"gebirges ";1;;;;;;;;;;;;;1;1
"gebulle
";1;;;;;;;1;1;;;;;;
"gevellet ";1;;;;;;;1;1;;;;;;
"gevienc
";1;;;;;;;1;1;;;;;;
"gewassen
";1;;;;;;;1;1;;;;;;
"gewürmes ";1;;;;;;;;;;;;;1;1
got;55;33;33;;;;;;;;;17;17;5;5
"got
";1;;;;;;;1;1;;;;;;
"got
";5;;;;;;;;;;;;;5;5
"got ";31;;;7;7;;;2;2;;;;;22;22
gote;60;;;;;;;;;;;46;46;14;14
"gote
";1;;;;;;;1;1;;;;;;
"gote ";15;;;;;;;3;3;;;;;12;12
goten;30;;;;;;;;;;;30;30;;
"goten ";1;;;;;;;;;;;;;1;1
goter;1;1;1;;;;;;;;;;;;
gotern;1;1;1;;;;;;;;;;;;
gotes;12;;;;;;;;;;;4;4;8;8
"gotes ";1;;;;;;;;;;;;;1;1
gotinne;12;;;;;;;;;;;12;12;;
"gotlîchen ";1;;;;;;;;;;;;;1;1
gotn;4;;;;;;;;;;;;;4;4
"gotn
";3;;;;;;;;;;;;;3;3
gotten;1;;;;;1;1;;;;;;;;
gotter;3;2;2;;;1;1;;;;;;;;
gottern;1;;;;;1;1;;;;;;;;
"gottes ";2;;;2;2;;;;;;;;;;
gottinne;1;;;;;;;;;;;1;1;;
