Group;Total;AXW ;BAX ;SAX ;AXS-normal ;AXV ;AXU ;AXR 
zorn;149;11;1;4;11;4;62;56
zorne;37;;;;4;1;11;21
zornec;3;;;;;;;3
zorneclîche;1;;;;;;;1
zornes;14;;;;;;11;3
zorni;1;;;;;1;;
zornic;4;;;;;;4;
zorniclîche;3;;;;;;3;
zorniclîchem;1;;;;;;1;
zornig;1;;;1;;;;
zornige;1;;;;1;;;
zornigen;1;;;;;;;1
zorniklich;2;;;2;;;;
zornlîche;10;;;;2;;;8
zornlîchen;5;;;;;;2;3
zornlîcher;1;;;;;;;1
zorns;1;;;;1;;;
zurnd;1;;;;;;;1
zurnde;4;;;;;;;4
zurne;2;;;;2;;;
zurnet;1;;;;;1;;
zurneter;1;;;;1;;;
zurnic;1;;;;1;;;
zurnigen;1;;;;1;;;
zurnt;2;;;1;;1;;
;;;;;;;;
Summe;248;11;1;8;24;8;94;102
