Group;Total;AXW ;BAX ;SAX ;AXS-normal;AXV ;AXU ;AXR 
got;453;54;7;59;29;2;176;126
gote;165;;;;10;;85;70
goten;46;;;;;;36;10
goter;3;3;;;;;;
gotern;1;1;;;;;;
gotes;89;2;;;;;22;65
gotfrit;2;;;;;;;2
gothait;2;2;;;;;;
gotheit;10;2;;;;;7;1
gotinne;12;;;;;;12;
gotis;3;;;;3;;;
gotlich;4;;;;;;2;2
gotlichen;1;1;;;;;;
gotlicher;1;1;;;;;;
gotlîche;3;;;;;;2;1
gotlîchen;4;;;;;;;4
gotlîcher;5;;;;;;;5
gotn;16;;;;;;;16
gots;7;;;1;;;;6
gott;10;;;10;;;;
gotten;7;;;7;;;;
gotter;9;5;;4;;;;
gottern;14;4;;10;;;;
gottes;14;;2;12;;;;
gottinne;1;;;;;;1;
gottinnen;1;;;1;;;;
gotîn;1;;;;;;1;
;;;;;;;;
Summe;884;75;9;104;42;2;344;308
